"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"39",4,217077,"ud",2,2,7.66103984215985,2,0,0,0,3,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"40",5,217086,"ud",2,3,5.38713019508459,1,0,0,0,2,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"41",6,216976,"cd",2,3,12.5896280889957,0,0,3,1,3,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"42",7,216984,"cd",2,5,21.9284257354175,0,0,5,1,5,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"43",8,216994,"cd",2,2,7.61577800321027,0,0,2,1,2,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"44",9,217001,"cd",2,6,20.8383772439658,0,0,6,1,6,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"45",10,217012,"cd",2,4,18.1059256486418,0,0,4,1,4,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"46",11,217021,"cd",2,7,15.278312035349,0,0,3,2,3,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"47",12,217029,"cd",2,1,7.94664677687637,0,0,2,1,2,8,6,"outjabm",4,"12","e5ea83a3b30eabe74d5cfe8ea6396325391d6b18.csv"
"48",1,235781,"ud",2,1,9.23623965521725,1,0,0,0,2,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"49",2,235790,"ud",2,2,7.66103984215985,2,0,0,0,3,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"50",3,235799,"ud",2,5,5.38713019508459,1,0,0,0,2,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"51",4,235808,"ud",2,4,4.57638043875349,1,0,0,0,2,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"52",5,235817,"ud",2,3,10.3949856274627,2,0,0,0,3,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"53",6,235689,"cd",2,3,12.5896280889957,0,0,3,1,3,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"54",7,235697,"cd",2,5,21.9284257354175,0,0,5,1,5,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"55",8,235707,"cd",2,2,7.61577800321027,0,0,2,1,2,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"56",9,235714,"cd",2,6,20.8383772439658,0,0,6,1,6,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"57",10,235725,"cd",2,4,18.1059256486418,0,0,4,1,4,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"58",11,235734,"cd",2,7,15.278312035349,0,0,3,2,3,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
